Course_ID,Course_Name,Department,Module,Lesson_Title,Content_Word_Count,Sentence_Count,Readability_Score,Grammar_Score,Learning_Objective_Match,Student_Rating,Completion_Rate,Feedback_Count,Reading_Time_Minutes,Publish_Date,Author,Difficulty_Level,Overall_Quality
C1023,Web Development,AI&DS,Project,Lesson 21,366,121.0,48.6,90.2,87.7,2.9,50.6,945,55,2024-01-01,Unknown,hard,Good
C1024,Machine Learning,AI&DS,Project,Lesson 6,3437,112.0,52.3,67.6,53.8,3.9,30.5,851,11,2024-01-01,Prof.Priya,,Good
C1025,Machine Learning,IT,Basics,Lesson 11,4672,253.0,91.3,97.3,67.6,3.2,71.3,1102,41,2024-01-01,Dr. Kumar,Easy,Good
,Data Structures,CSE,Introduction,Lesson 15,1968,66.0,85.5,59.5,64.7,2.8,78.4,646,34,2023-06-08,Unknown,Medium,good
C1027,Java Programming,AI&DS,Basics,Lesson 10,3909,78.0,49.6,94.9,42.7,1.7,71.6,918,43,2024-09-19,Prof. Meena,Hard,Average
C1028,Java Programming,IT,Basics,Lesson 7,3154,228.0,75.8,66.6,100.0,4.4,56.2,65,62,2024-01-01,Dr Ravi,,Average
,,AI&DS,Basics,Lesson 25,3172,177.0,95.6,77.4,88.2,1.5,78.4,591,64,2024-01-01,Dr. Kumar,Medium,Good
C1030,AI Fundamentals,IT,Basics,Lesson 4,1976,169.0,88.7,47.1,79.5,1.8,0.0,701,23,2023-03-05,Unknown,hard,Average
C1031,Data Structures,AI&DS,Basics,Lesson 19,4100,,80.2,71.5,98.6,5.0,100.0,973,54,2024-02-13,Unknown,Medium,Good
C1032,DBMS,CSE,Intermediate,Lesson 3,2278,108.0,65.9,100.0,86.2,1.8,72.4,838,12,2023-06-18,Prof. Meena,,good
C1033,Java Programming,ECE,Project,Lesson 18,3644,109.0,100.0,43.9,63.4,1.8,38.4,1345,52,2025-02-11,Dr. Kumar,Hard,Good
C1034,Web Development,CSE,Basics,Lesson 2,3681,178.0,74.7,50.5,74.0,4.4,43.9,714,44,2023-04-16,Prof. Meena,Hard,Poor
C1035,Web Development,IT,Advanced,Lesson 3,1663,154.0,58.3,86.0,81.9,5.0,100.0,229,83,2024-01-01,Prof.Priya,Easy,Average
C1036,Web Development,AI&DS,Project,Lesson 17,3418,129.0,0.0,72.7,83.0,1.8,93.2,675,28,2023-01-12,Unknown,Medium,Average
C1037,Machine Learning,AI&DS,Basics,Lesson 12,2339,46.0,99.5,93.9,80.4,3.8,42.1,366,14,2023-11-22,Prof.Priya,hard,Good
C1038,Java Programming,AI&DS,Basics,Lesson 16,3215,190.0,36.0,91.8,39.2,1.1,44.9,833,75,2024-11-14,Unknown,Hard,Good
C1039,AI Fundamentals,AI&DS,Basics,Lesson 15,877,80.0,100.0,85.1,91.8,1.3,43.7,907,15,2025-06-06,Prof. Meena,,Poor
C1040,Python Programming,ECE,Project,Lesson 17,4689,208.0,56.2,79.0,91.2,1.9,91.7,673,40,2024-01-01,Prof. Meena,Hard,Poor
C1041,DBMS,IT,Intermediate,Lesson 13,773,168.0,83.5,90.5,38.6,2.3,50.2,910,34,2024-01-01,Unknown,Hard,Average
C1042,Web Development,AI&DS,Basics,Lesson 17,3052,224.0,35.4,40.0,40.5,3.6,42.6,749,26,2024-01-01,Prof. Meena,,Good
C1043,DBMS,ECE,Project,Lesson 6,1606,281.0,49.8,70.4,51.0,0.3,82.7,247,53,2024-01-01,Prof. Meena,Easy,Excellent
C1044,AI Fundamentals,IT,Advanced,Lesson 18,1903,161.0,89.5,55.4,47.7,5.0,100.0,437,41,2025-04-12,Prof.Priya,Medium,Good
C1045,Java Programming,ECE,Intermediate,Lesson 5,100,287.0,75.4,100.0,86.2,4.6,62.2,1474,58,2024-01-01,Prof.Priya,Hard,good
C1046,Web Development,AI&DS,Basics,Lesson 17,4477,28.0,68.3,52.2,63.5,5.0,64.9,1196,8,2024-01-01,Dr. Kumar,Easy,Good
C1047,,IT,Basics,Lesson 10,4646,72.0,87.9,51.4,79.3,5.0,68.2,237,14,2024-01-01,Dr. Kumar,Medium,Average
C1048,Data Structures,AI&DS,Advanced,Lesson 5,2796,70.0,83.0,61.5,55.8,1.1,83.0,1246,8,2024-01-01,Unknown,Easy,good
C1049,,AI&DS,Basics,Lesson 3,1764,236.0,43.7,46.4,60.7,2.2,38.1,922,79,2025-06-13,Unknown,,Poor
C1050,AI Fundamentals,ECE,Basics,Lesson 9,1105,,68.0,61.4,71.3,0.2,50.1,1014,37,2024-01-01,Prof.Priya,Medium,Average
C1051,Data Structures,AI&DS,Basics,Lesson 12,1548,163.0,58.2,57.8,85.0,4.8,33.9,874,12,2024-01-01,Prof. Meena,Medium,Excellent
C1052,Java Programming,AI&DS,Basics,Lesson 17,3526,246.0,86.6,83.1,79.7,0.0,100.0,1442,74,2024-11-10,Prof. Meena,Hard,Good
C1053,DBMS,AI&DS,Intermediate,Lesson 9,4807,38.0,36.0,0.0,39.2,0.2,69.3,1440,55,2024-01-01,Prof. Meena,Medium,Poor
C1054,,ECE,Basics,Lesson 5,3374,249.0,100.0,76.2,88.3,1.0,85.2,1221,84,2024-01-01,Prof.Priya,Hard,good
C1055,AI Fundamentals,ECE,Advanced,Lesson 15,4031,201.0,71.4,61.9,96.4,3.4,39.7,570,36,2024-09-01,Unknown,,Good
C1056,Python Programming,ECE,Basics,Lesson 3,4177,87.0,85.2,56.7,56.0,5.0,40.2,82,59,2023-03-24,Dr Ravi,Hard,Average
C1057,DBMS,AI&DS,Basics,Lesson 10,2483,154.0,95.6,63.6,70.0,5.0,78.1,1363,37,2024-06-11,Dr Ravi,Medium,Average
C1058,Python Programming,AI&DS,Intermediate,Lesson 12,1059,52.0,60.6,72.2,50.4,2.1,100.0,1483,25,2024-08-04,Dr. Kumar,Medium,Good
C1059,DBMS,IT,Basics,Lesson 24,3761,283.0,44.6,70.5,88.9,4.1,52.2,1485,46,2024-01-01,Dr Ravi,,Poor
C1060,Machine Learning,AI&DS,Basics,Lesson 3,4974,154.0,85.8,53.5,100.0,5.0,61.3,918,84,2024-01-01,Dr Ravi,hard,Average
C1061,Python Programming,CSE,Intermediate,Lesson 16,3712,6.0,100.0,72.1,87.1,4.4,88.1,295,66,2024-02-28,Dr. Kumar,Easy,good
C1062,AI Fundamentals,AI&DS,Advanced,Lesson 9,2757,194.0,35.3,73.0,77.1,0.0,75.6,687,70,2024-01-01,Dr. Kumar,Medium,Excellent
C1063,Python Programming,AI&DS,Intermediate,Lesson 19,2939,247.0,83.3,49.5,50.6,3.0,73.0,631,65,2024-01-01,Prof. Meena,Easy,Good
C1064,Data Structures,AI&DS,Introduction,Lesson 18,854,177.0,42.4,41.0,81.9,2.8,43.1,578,38,2024-01-01,Unknown,,Good
C1065,AI Fundamentals,AI&DS,Basics,Lesson 23,1296,171.0,52.9,89.9,58.8,5.0,46.0,1093,15,2023-02-23,Prof.Priya,hard,Average
,Web Development,AI&DS,Basics,Lesson 4,3205,251.0,91.0,41.8,64.6,4.5,50.0,504,73,2023-12-16,Prof. Meena,,Average
C1067,Java Programming,CSE,Project,Lesson 14,2303,9.0,84.0,85.0,71.3,2.5,100.0,947,82,2024-02-08,Dr Ravi,Medium,good
C1068,AI Fundamentals,AI&DS,Basics,Lesson 24,610,82.0,80.4,65.9,82.6,2.7,32.9,1280,12,2025-06-10,Prof.Priya,hard,Excellent
C1069,Machine Learning,IT,Basics,Lesson 9,3970,245.0,84.6,68.8,94.7,1.2,53.0,177,78,2024-09-25,Dr Ravi,Medium,Good
C1070,AI Fundamentals,AI&DS,Introduction,Lesson 19,1371,138.0,71.2,99.2,82.1,0.5,78.9,0,55,2025-03-02,Unknown,hard,Excellent
C1071,DBMS,AI&DS,Basics,,1222,170.0,69.3,0.0,70.5,1.3,69.4,1199,89,2024-01-01,Unknown,hard,Good
,Java Programming,AI&DS,Project,Lesson 16,2983,,46.3,55.8,65.1,2.4,93.4,1025,24,2025-01-06,Prof. Meena,,Average
C1073,DBMS,IT,Introduction,Lesson 10,1370,136.0,37.1,87.4,88.5,5.0,90.6,1109,18,2025-01-17,Dr. Kumar,hard,Good
C1074,Python Programming,AI&DS,Introduction,Lesson 17,2810,201.0,35.3,59.6,93.3,2.1,63.2,178,26,2023-03-03,Prof.Priya,,Good
C1075,Web Development,ECE,Basics,Lesson 4,2865,118.0,90.2,42.2,55.5,2.2,59.2,1468,61,2024-01-01,Unknown,Easy,Good
C1076,,IT,Basics,Lesson 4,4024,115.0,95.5,100.0,87.6,2.7,86.5,753,62,2024-01-01,Dr. Kumar,Medium,Good
C1077,AI Fundamentals,ECE,Project,Lesson 14,3819,278.0,100.0,81.4,97.4,4.5,81.6,897,78,2023-01-10,Dr Ravi,Hard,Average
C1079,Java Programming,AI&DS,Advanced,Lesson 20,921,199.0,78.7,59.1,78.7,4.1,42.6,446,75,2024-01-01,Dr. Kumar,,Average
C1080,DBMS,AI&DS,Project,Lesson 3,562,68.0,91.1,0.0,41.2,1.5,45.4,1061,45,2023-07-17,Dr Ravi,hard,Average
C1081,Data Structures,AI&DS,Basics,Lesson 10,2185,205.0,37.9,83.6,82.5,3.9,67.9,364,9,2024-01-01,Dr Ravi,Easy,Poor
C1082,Java Programming,IT,Basics,Lesson 25,3173,139.0,38.9,100.0,92.5,2.2,82.2,169,36,2023-05-23,Dr. Kumar,Hard,Excellent
C1083,DBMS,CSE,Advanced,Lesson 12,2377,262.0,71.9,54.5,73.9,3.4,87.5,945,65,2024-01-01,Dr. Kumar,Hard,Excellent
C1084,Data Structures,ECE,Project,Lesson 20,3994,207.0,80.6,70.4,57.7,0.9,82.0,394,26,2024-01-01,Prof. Meena,,Good
C1085,Machine Learning,AI&DS,Advanced,Lesson 7,4546,197.0,42.3,72.8,100.0,3.3,39.0,1206,34,2024-01-01,Unknown,Hard,Excellent
C1086,Java Programming,IT,Basics,Lesson 10,1492,32.0,0.0,70.2,58.6,5.0,76.8,0,111,2024-01-01,Dr. Kumar,Hard,Good
C1087,Web Development,CSE,Advanced,Lesson 20,1764,182.0,53.9,44.6,40.3,1.9,66.4,1239,38,2024-01-01,Prof. Meena,Hard,good
C1088,Java Programming,ECE,Project,Lesson 5,3603,104.0,55.5,63.4,35.1,4.3,100.0,1446,87,2024-01-01,Dr. Kumar,Easy,Good
C1089,Python Programming,AI&DS,Introduction,Lesson 6,4669,53.0,54.4,78.8,89.3,2.4,75.7,509,72,2024-01-01,Unknown,,Poor
C1090,Data Structures,IT,Advanced,Lesson 17,4833,18.0,100.0,91.6,78.5,1.6,35.8,461,7,2024-01-01,Unknown,Medium,Excellent
C1091,Java Programming,IT,Basics,Lesson 18,3487,123.0,43.1,87.5,84.0,4.5,86.7,35,59,2024-01-01,Prof. Meena,,Average
C1092,Java Programming,CSE,Basics,Lesson 6,4397,194.0,48.1,93.1,68.8,0.5,39.0,1293,55,2024-01-01,Dr Ravi,hard,Poor
C1093,Web Development,ECE,Project,Lesson 4,2354,280.0,38.9,52.2,60.3,0.9,43.0,137,58,2024-01-01,Prof. Meena,Easy,Poor
C1094,AI Fundamentals,AI&DS,Project,Lesson 23,1338,165.0,51.7,92.9,84.1,1.4,60.2,1388,76,2025-01-20,Dr Ravi,Medium,Good
C1095,Web Development,AI&DS,Introduction,Lesson 3,4224,50.0,98.6,75.2,80.6,1.1,74.9,1219,83,2023-09-20,Prof.Priya,Easy,good
,Python Programming,CSE,Advanced,Lesson 8,4903,293.0,89.8,73.6,99.6,3.2,83.3,840,15,2024-01-01,Dr Ravi,Easy,Good
C1097,AI Fundamentals,AI&DS,Intermediate,Lesson 15,4309,10.0,69.0,81.9,44.7,5.0,0.0,777,65,2024-01-01,Prof. Meena,Medium,Poor
C1098,Java Programming,IT,Basics,Lesson 21,100,253.0,51.9,67.2,92.5,1.5,37.9,981,85,2024-01-01,Dr. Kumar,Medium,Average
C1099,Data Structures,IT,Project,Lesson 12,4846,216.0,41.3,45.1,75.1,4.5,82.5,243,5,2025-02-07,Dr. Kumar,,Poor
C1100,Python Programming,ECE,Basics,Lesson 24,1902,98.0,83.8,48.8,43.4,2.8,66.0,450,59,2025-05-22,Dr Ravi,Hard,Average
C1101,Web Development,AI&DS,Basics,Lesson 21,3074,123.0,58.7,70.2,61.2,5.0,67.1,271,65,2023-12-01,Dr Ravi,Easy,Good
C1102,DBMS,AI&DS,Basics,,1186,207.0,94.3,68.2,100.0,1.7,31.6,737,28,2024-01-01,Prof. Meena,Medium,good
C1103,Machine Learning,ECE,Intermediate,Lesson 10,1876,264.0,78.6,80.8,54.7,1.4,35.4,1424,78,2024-01-01,Dr. Kumar,hard,Good
C1104,AI Fundamentals,AI&DS,Advanced,Lesson 12,1039,170.0,75.0,75.2,64.0,0.8,49.9,962,67,2024-01-01,Dr Ravi,,Good
C1105,DBMS,CSE,Introduction,Lesson 4,4459,158.0,66.0,56.5,89.5,1.1,79.4,1209,14,2024-01-14,Unknown,hard,Excellent
C1106,Data Structures,CSE,Basics,Lesson 17,4058,277.0,95.9,84.9,68.1,2.0,87.7,0,79,2023-01-07,Dr. Kumar,Medium,good
C1107,Java Programming,CSE,Intermediate,Lesson 18,1167,270.0,65.2,65.6,0.0,0.0,37.5,629,6,2023-05-13,Prof.Priya,Medium,Good
C1108,Web Development,AI&DS,Intermediate,Lesson 1,3674,298.0,48.9,44.2,36.3,4.1,69.0,1478,59,2024-01-01,Prof. Meena,Hard,Poor
C1109,Machine Learning,AI&DS,Intermediate,Lesson 3,4484,180.0,98.6,41.0,62.4,1.5,53.5,1423,56,2024-01-01,Dr. Kumar,Hard,Excellent
C1111,Machine Learning,IT,Basics,Lesson 21,1973,259.0,0.0,77.4,100.0,0.2,46.9,73,66,2025-06-07,Dr Ravi,hard,Average
C1112,Machine Learning,ECE,Project,Lesson 17,3168,141.0,42.9,43.4,55.4,3.7,89.3,1078,82,2025-06-15,Dr Ravi,Easy,Good
C1113,Machine Learning,AI&DS,Advanced,Lesson 19,2186,176.0,94.4,80.2,0.0,3.8,38.2,439,77,2025-02-04,Dr Ravi,Hard,Excellent
C1114,Machine Learning,AI&DS,Basics,Lesson 4,2637,23.0,100.0,48.7,97.8,0.0,0.0,0,6,2024-01-01,Dr Ravi,,good
C1115,Data Structures,ECE,Intermediate,Lesson 2,4907,241.0,89.4,48.5,63.4,0.8,42.5,1103,86,2024-02-13,Unknown,Easy,Average
C1116,AI Fundamentals,CSE,Basics,Lesson 21,3261,274.0,99.7,97.9,44.3,1.7,69.5,337,24,2025-03-31,Dr Ravi,Medium,Excellent
C1117,Machine Learning,ECE,Advanced,Lesson 18,1696,229.0,55.8,43.1,53.0,1.9,81.3,962,1,2024-07-08,Dr. Kumar,Hard,good
C1118,AI Fundamentals,IT,Introduction,,4854,105.0,91.8,100.0,48.8,3.5,62.9,471,1,2024-01-01,Dr Ravi,Medium,good
C1119,Python Programming,AI&DS,Intermediate,Lesson 23,2014,181.0,98.0,72.8,100.0,2.3,66.7,1181,50,2024-01-01,Dr. Kumar,,Excellent
C1120,DBMS,CSE,Introduction,Lesson 8,4850,77.0,47.4,69.0,58.2,2.1,73.9,53,18,2023-07-06,Prof. Meena,Medium,Excellent
C1121,Java Programming,AI&DS,Advanced,Lesson 11,3327,184.0,100.0,72.4,64.1,0.7,34.2,535,79,2024-06-24,Prof. Meena,Easy,Excellent
C1122,Java Programming,AI&DS,Basics,Lesson 22,1101,298.0,38.1,49.8,69.4,3.2,95.5,896,79,2023-11-15,Unknown,Hard,Good
C1123,DBMS,AI&DS,Basics,Lesson 1,2492,,98.0,85.0,80.8,0.9,86.8,1034,19,2024-01-01,Dr Ravi,,Poor
C1124,Data Structures,AI&DS,Intermediate,Lesson 20,100,246.0,62.0,81.1,90.4,4.9,40.5,233,72,2024-01-01,Prof.Priya,Medium,Good
C1125,Web Development,AI&DS,Basics,Lesson 3,2623,142.0,48.7,57.4,61.5,4.8,63.9,769,72,2024-01-01,Prof.Priya,hard,Average
C1126,DBMS,AI&DS,Introduction,Lesson 21,677,266.0,73.5,62.5,57.2,1.5,89.8,104,16,2024-01-01,Unknown,,Average
C1127,Machine Learning,CSE,Introduction,Lesson 8,3771,214.0,75.7,52.9,92.8,3.0,100.0,336,20,2024-01-01,Dr. Kumar,hard,good
C1128,Python Programming,IT,Basics,Lesson 10,3508,266.0,44.8,83.2,52.6,2.1,64.1,781,72,2024-01-01,Unknown,Easy,Poor
,AI Fundamentals,IT,Basics,,4271,266.0,90.2,100.0,53.3,1.2,46.6,1487,12,2024-01-01,Dr. Kumar,Easy,Good
C1131,Web Development,CSE,Project,Lesson 3,1206,185.0,47.5,100.0,71.5,2.8,60.3,650,85,2023-04-22,Dr Ravi,hard,good
C1132,AI Fundamentals,ECE,Intermediate,Lesson 24,2702,279.0,83.4,59.8,53.4,2.3,100.0,354,28,2024-01-01,Dr. Kumar,Hard,Average
C1133,DBMS,IT,Basics,Lesson 16,2266,185.0,95.5,99.3,44.0,0.1,42.1,1343,81,2024-08-20,Prof.Priya,hard,Poor
C1134,DBMS,AI&DS,Advanced,Lesson 11,4207,161.0,82.3,45.7,100.0,0.9,99.9,35,32,2025-05-03,Unknown,hard,Average
C1135,,AI&DS,Project,Lesson 23,4769,295.0,0.0,70.4,95.0,4.5,85.6,576,59,2024-01-01,Unknown,Easy,Good
C1136,,AI&DS,Basics,Lesson 8,631,221.0,47.4,87.6,68.9,2.0,65.3,1058,44,2024-03-17,Unknown,hard,Good
C1137,,AI&DS,Basics,Lesson 16,875,196.0,79.6,88.2,58.0,1.1,32.0,766,72,2023-02-06,Dr Ravi,Hard,Poor
C1138,AI Fundamentals,AI&DS,Basics,Lesson 5,2568,236.0,0.0,71.0,100.0,4.5,63.5,883,4,2024-01-01,Unknown,,Average
C1139,Machine Learning,IT,Basics,Lesson 6,2792,219.0,94.0,99.2,88.8,3.2,82.8,469,75,2024-01-01,Dr. Kumar,Medium,Good
C1140,DBMS,AI&DS,Advanced,Lesson 9,4758,152.0,93.9,43.2,100.0,3.7,30.3,1035,79,2023-04-07,Dr. Kumar,Medium,Poor
C1141,Data Structures,CSE,Basics,Lesson 25,4760,228.0,56.5,100.0,50.3,4.0,63.8,297,84,2025-03-06,Unknown,,good
C1142,Machine Learning,AI&DS,Basics,Lesson 3,2796,127.0,0.0,78.9,72.9,3.7,62.0,19,84,2024-08-19,Dr Ravi,Medium,Poor
C1143,DBMS,AI&DS,Project,Lesson 2,2171,211.0,98.4,76.2,0.0,5.0,92.0,92,83,2024-01-01,Prof. Meena,Easy,Good
C1144,Web Development,IT,Project,Lesson 19,3595,95.0,81.1,75.3,46.0,1.2,74.5,1251,33,2025-06-05,Dr. Kumar,Easy,Average
C1145,DBMS,IT,Intermediate,Lesson 25,3456,161.0,99.1,60.4,64.1,1.1,66.3,527,78,2024-01-01,Dr Ravi,Medium,Poor
C1146,Web Development,CSE,Basics,Lesson 1,4041,117.0,90.9,78.5,99.0,4.8,55.9,1096,44,2023-08-21,Dr. Kumar,Medium,Average
C1147,Machine Learning,AI&DS,Advanced,Lesson 19,100,139.0,87.8,40.4,55.9,3.6,60.9,0,22,2024-10-28,Unknown,hard,good
C1148,Java Programming,AI&DS,Basics,Lesson 4,3912,12.0,96.6,51.6,85.8,1.9,99.9,52,34,2024-08-31,Dr. Kumar,hard,Good
C1149,Web Development,AI&DS,Basics,Lesson 13,538,251.0,95.4,68.8,57.0,5.0,85.3,1454,59,2024-01-01,Dr Ravi,,Good
C1150,DBMS,IT,Basics,Lesson 16,4018,49.0,79.5,94.1,67.4,1.2,74.5,54,63,2024-01-01,Prof.Priya,,Poor
C1151,Machine Learning,AI&DS,Introduction,Lesson 3,4637,279.0,77.7,99.9,68.9,2.9,51.4,244,89,2023-03-23,Prof. Meena,Easy,Good
C1152,Python Programming,IT,Basics,Lesson 20,100,278.0,55.4,65.7,93.2,4.2,79.1,214,17,2024-12-18,Dr. Kumar,Hard,Poor
C1153,AI Fundamentals,AI&DS,Intermediate,Lesson 5,4559,271.0,100.0,64.5,85.0,2.4,90.7,391,24,2024-01-01,Prof. Meena,Hard,good
C1154,DBMS,ECE,Advanced,Lesson 2,1193,11.0,35.1,99.7,83.7,4.9,62.9,1472,37,2024-01-01,Dr Ravi,Easy,Excellent
C1155,AI Fundamentals,AI&DS,Project,Lesson 10,4750,224.0,55.0,98.4,70.2,2.7,53.8,1136,67,2024-01-01,Unknown,Medium,good
C1156,Machine Learning,AI&DS,Intermediate,Lesson 14,3215,16.0,59.8,100.0,0.0,0.4,100.0,405,88,2024-01-01,Dr Ravi,,Good
C1157,Data Structures,CSE,Basics,Lesson 13,686,283.0,90.4,98.6,81.1,0.3,74.2,808,51,2024-01-01,Dr. Kumar,hard,Good
C1158,DBMS,ECE,Basics,Lesson 17,4902,225.0,68.5,63.4,67.8,2.7,60.0,369,21,2024-01-01,Unknown,Hard,Poor
C1159,Machine Learning,CSE,Basics,Lesson 9,2463,238.0,62.9,65.0,64.2,2.1,35.1,404,59,2025-01-16,Prof. Meena,Medium,Excellent
C1160,Python Programming,AI&DS,Basics,Lesson 25,100,128.0,85.4,97.7,69.7,4.7,74.4,539,80,2024-01-01,Dr Ravi,Hard,Good
C1161,Data Structures,CSE,Basics,Lesson 24,3532,225.0,49.1,92.6,86.2,4.8,52.0,1010,33,2024-01-01,Prof. Meena,,Average
C1162,Python Programming,IT,Basics,Lesson 11,4933,180.0,70.7,74.5,100.0,5.0,100.0,37,15,2025-05-25,Dr. Kumar,,Average
C1163,Web Development,IT,Intermediate,Lesson 21,3266,182.0,95.4,60.2,0.0,5.0,70.9,1407,23,2024-01-01,Unknown,Medium,Good
C1164,DBMS,CSE,Basics,Lesson 2,635,121.0,76.7,58.8,42.9,3.7,66.2,1007,62,2024-01-01,Dr. Kumar,Easy,Excellent
C1165,Web Development,AI&DS,Intermediate,Lesson 10,1546,32.0,54.9,52.1,76.8,1.9,71.0,924,23,2024-01-01,Prof.Priya,Easy,Average
C1166,DBMS,CSE,Advanced,Lesson 2,1991,272.0,96.4,72.6,56.9,1.3,52.2,1219,77,2023-08-16,Dr. Kumar,Hard,Excellent
C1167,DBMS,AI&DS,Basics,Lesson 14,2070,145.0,85.0,100.0,47.8,0.8,84.7,1497,18,2025-06-07,Unknown,hard,Average
C1168,DBMS,CSE,Intermediate,Lesson 7,4525,164.0,97.5,93.6,80.8,2.2,100.0,212,73,2023-01-29,Dr Ravi,Hard,Poor
C1169,DBMS,CSE,Basics,Lesson 2,3802,287.0,39.6,78.5,63.7,2.8,100.0,1024,9,2025-04-04,Unknown,Medium,good
C1170,Data Structures,AI&DS,Intermediate,Lesson 2,674,195.0,59.5,100.0,82.7,4.2,73.5,495,17,2024-01-01,Dr. Kumar,Hard,Poor
C1171,Machine Learning,CSE,Introduction,Lesson 13,2115,70.0,74.4,93.8,57.8,5.0,41.2,607,1,2024-01-01,Prof. Meena,Medium,Average
C1172,Java Programming,AI&DS,Project,Lesson 19,3690,181.0,44.4,93.0,38.5,2.0,85.5,810,37,2025-05-26,Dr. Kumar,hard,Excellent
C1173,Web Development,ECE,Intermediate,Lesson 18,4268,144.0,43.7,46.9,51.4,0.6,65.1,26,21,2023-07-15,Unknown,Easy,Poor
C1174,Data Structures,ECE,Advanced,Lesson 2,768,280.0,65.7,40.6,73.9,3.7,61.5,793,71,2024-04-02,Unknown,,Good
C1175,Java Programming,AI&DS,Basics,Lesson 9,712,75.0,47.5,50.9,70.3,0.6,85.1,554,65,2024-01-01,Prof.Priya,Hard,Excellent
C1176,Machine Learning,AI&DS,Basics,Lesson 22,889,91.0,95.0,100.0,95.0,1.8,90.7,1096,86,2024-01-01,Prof.Priya,,good
C1177,AI Fundamentals,AI&DS,Project,Lesson 15,1295,209.0,95.4,78.5,92.2,2.4,86.8,1233,88,2025-06-04,Dr Ravi,Hard,Excellent
C1178,DBMS,AI&DS,Basics,Lesson 13,1468,247.0,69.7,54.8,47.5,2.6,43.3,191,67,2024-08-22,Unknown,Medium,Excellent
