Course_ID,Course_Name,Department,Module,Lesson_Title,Content_Word_Count,Sentence_Count,Readability_Score,Grammar_Score,Learning_Objective_Match,Student_Rating,Completion_Rate,Feedback_Count,Reading_Time_Minutes,Publish_Date,Author,Difficulty_Level,Overall_Quality,Quality_Index,Performance,Completion_Status,Grammar_Category,Readability_Category
C1011,,CSE,Project,Lesson 21,1536,133.0,83.5,92.7,41.9,3.6,42.2,1045,77,2024-02-04,Dr. Kumar,Hard,good,74.09,Average,Needs Attention,Excellent,Easy
C1012,Java Programming,AI&DS,Basics,Lesson 24,2587,198.0,97.2,74.5,48.6,2.1,64.1,789,46,2024-01-01,Dr Ravi,,good,68.345,Poor,In Progress,Average,Easy
C1013,Web Development,AI&DS,Intermediate,Lesson 12,1309,219.0,48.4,69.6,65.4,3.4,60.9,1275,7,2024-01-01,Dr. Kumar,,good,62.08,Average,In Progress,Average,Hard
C1014,Web Development,AI&DS,Basics,Lesson 4,2546,211.0,62.9,57.3,65.3,5.0,80.5,942,89,2024-12-31,Unknown,Easy,good,76.15,Excellent,In Progress,Average,Medium
C1015,Java Programming,ECE,Basics,Lesson 9,100,175.0,86.1,63.3,48.5,0.5,49.7,625,50,2024-01-01,Dr. Kumar,Easy,Average,50.28999999999999,Poor,Needs Attention,Average,Easy
C1016,Web Development,CSE,Basics,Lesson 1,2394,6.0,93.5,81.5,78.2,5.0,49.6,1178,78,2024-01-01,Dr Ravi,Easy,Good,83.67,Excellent,Needs Attention,Good,Easy
C1017,Python Programming,AI&DS,Project,Lesson 6,4417,110.0,42.2,62.1,50.2,0.4,71.6,573,27,2024-01-01,Prof.Priya,Medium,Excellent,42.795,Poor,In Progress,Average,Hard
C1018,Web Development,IT,Basics,Lesson 13,2121,46.0,40.0,93.2,0.0,2.5,93.5,1127,85,2024-01-01,Dr Ravi,hard,Good,67.0,Poor,Completed,Excellent,Hard
C1019,Python Programming,AI&DS,Advanced,Lesson 2,4081,196.0,100.0,66.1,38.6,1.0,30.0,1092,8,2024-01-01,Dr. Kumar,Medium,good,53.525,Poor,Needs Attention,Average,Easy
C1020,AI Fundamentals,AI&DS,Project,Lesson 4,2915,143.0,52.8,70.2,91.8,4.4,91.1,848,79,2023-11-15,Unknown,Easy,Average,75.37,Good,Completed,Average,Hard
C1021,Web Development,AI&DS,Introduction,Lesson 24,1391,143.0,48.6,56.2,90.7,0.9,67.8,1395,34,2023-02-21,Dr. Kumar,Hard,Good,45.160000000000004,Poor,In Progress,Average,Hard
C1022,Web Development,AI&DS,Basics,Lesson 5,4196,132.0,69.8,0.0,39.1,5.0,57.5,1367,50,2024-01-01,Prof. Meena,Easy,Good,58.95,Excellent,Needs Attention,Average,Medium
C1023,Web Development,AI&DS,Project,Lesson 21,366,121.0,48.6,90.2,87.7,2.9,50.6,945,55,2024-01-01,Unknown,hard,Good,62.22,Poor,Needs Attention,Excellent,Hard
C1024,Machine Learning,AI&DS,Project,Lesson 6,3437,112.0,52.3,67.6,53.8,3.9,30.5,851,11,2024-01-01,Prof.Priya,,Good,59.475,Average,Needs Attention,Average,Hard
C1025,Machine Learning,IT,Basics,Lesson 11,4672,253.0,91.3,97.3,67.6,3.2,71.3,1102,41,2024-01-01,Dr. Kumar,Easy,Good,80.61,Average,In Progress,Excellent,Easy
,Data Structures,CSE,Introduction,Lesson 15,1968,66.0,85.5,59.5,64.7,2.8,78.4,646,34,2023-06-08,Unknown,Medium,good,68.73,Poor,In Progress,Average,Easy
C1027,Java Programming,AI&DS,Basics,Lesson 10,3909,78.0,49.6,94.9,42.7,1.7,71.6,918,43,2024-09-19,Prof. Meena,Hard,Average,60.644999999999996,Poor,In Progress,Excellent,Hard
C1028,Java Programming,IT,Basics,Lesson 7,3154,228.0,75.8,66.6,100.0,4.4,56.2,65,62,2024-01-01,Dr Ravi,,Average,73.24000000000001,Good,Needs Attention,Average,Medium
,,AI&DS,Basics,Lesson 25,3172,177.0,95.6,77.4,88.2,1.5,78.4,591,64,2024-01-01,Dr. Kumar,Medium,Good,67.93,Poor,In Progress,Good,Easy
C1030,AI Fundamentals,IT,Basics,Lesson 4,1976,169.0,88.7,47.1,79.5,1.8,0.0,701,23,2023-03-05,Unknown,hard,Average,44.75,Poor,Needs Attention,Average,Easy
C1031,Data Structures,AI&DS,Basics,Lesson 19,4100,,80.2,71.5,98.6,5.0,100.0,973,54,2024-02-13,Unknown,Medium,Good,87.925,Excellent,Completed,Average,Easy
C1032,DBMS,CSE,Intermediate,Lesson 3,2278,108.0,65.9,100.0,86.2,1.8,72.4,838,12,2023-06-18,Prof. Meena,,good,66.755,Poor,In Progress,Excellent,Medium
C1033,Java Programming,ECE,Project,Lesson 18,3644,109.0,100.0,43.9,63.4,1.8,38.4,1345,52,2025-02-11,Dr. Kumar,Hard,Good,54.455,Poor,Needs Attention,Average,Easy
C1034,Web Development,CSE,Basics,Lesson 2,3681,178.0,74.7,50.5,74.0,4.4,43.9,714,44,2023-04-16,Prof. Meena,Hard,Poor,66.48,Good,Needs Attention,Average,Medium
C1035,Web Development,IT,Advanced,Lesson 3,1663,154.0,58.3,86.0,81.9,5.0,100.0,229,83,2024-01-01,Prof.Priya,Easy,Average,86.075,Excellent,Completed,Good,Hard
C1036,Web Development,AI&DS,Project,Lesson 17,3418,129.0,0.0,72.7,83.0,1.8,93.2,675,28,2023-01-12,Unknown,Medium,Average,47.615,Poor,Completed,Average,Hard
C1037,Machine Learning,AI&DS,Basics,Lesson 12,2339,46.0,99.5,93.9,80.4,3.8,42.1,366,14,2023-11-22,Prof.Priya,hard,Good,79.57000000000001,Average,Needs Attention,Excellent,Easy
C1038,Java Programming,AI&DS,Basics,Lesson 16,3215,190.0,36.0,91.8,39.2,1.1,44.9,833,75,2024-11-14,Unknown,Hard,Good,47.53,Poor,Needs Attention,Excellent,Hard
C1039,AI Fundamentals,AI&DS,Basics,Lesson 15,877,80.0,100.0,85.1,91.8,1.3,43.7,907,15,2025-06-06,Prof. Meena,,Poor,62.815000000000005,Poor,Needs Attention,Good,Easy
C1040,Python Programming,ECE,Project,Lesson 17,4689,208.0,56.2,79.0,91.2,1.9,91.7,673,40,2024-01-01,Prof. Meena,Hard,Poor,63.540000000000006,Poor,Completed,Good,Hard
C1041,DBMS,IT,Intermediate,Lesson 13,773,168.0,83.5,90.5,38.6,2.3,50.2,910,34,2024-01-01,Unknown,Hard,Average,67.34,Poor,Needs Attention,Excellent,Easy
C1042,Web Development,AI&DS,Basics,Lesson 17,3052,224.0,35.4,40.0,40.5,3.6,42.6,749,26,2024-01-01,Prof. Meena,,Good,48.97,Average,Needs Attention,Average,Hard
C1043,DBMS,ECE,Project,Lesson 6,1606,281.0,49.8,70.4,51.0,0.3,82.7,247,53,2024-01-01,Prof. Meena,Easy,Excellent,48.39,Poor,In Progress,Average,Hard
C1044,AI Fundamentals,IT,Advanced,Lesson 18,1903,161.0,89.5,55.4,47.7,5.0,100.0,437,41,2025-04-12,Prof.Priya,Medium,Good,86.225,Excellent,Completed,Average,Easy
C1045,Java Programming,ECE,Intermediate,Lesson 5,100,287.0,75.4,100.0,86.2,4.6,62.2,1474,58,2024-01-01,Prof.Priya,Hard,good,83.88999999999999,Excellent,In Progress,Excellent,Medium
C1046,Web Development,AI&DS,Basics,Lesson 17,4477,28.0,68.3,52.2,63.5,5.0,64.9,1196,8,2024-01-01,Dr. Kumar,Easy,Good,73.105,Excellent,In Progress,Average,Medium
C1047,,IT,Basics,Lesson 10,4646,72.0,87.9,51.4,79.3,5.0,68.2,237,14,2024-01-01,Dr. Kumar,Medium,Average,78.465,Excellent,In Progress,Average,Easy
C1048,Data Structures,AI&DS,Advanced,Lesson 5,2796,70.0,83.0,61.5,55.8,1.1,83.0,1246,8,2024-01-01,Unknown,Easy,good,59.325,Poor,In Progress,Average,Easy
C1049,,AI&DS,Basics,Lesson 3,1764,236.0,43.7,46.4,60.7,2.2,38.1,922,79,2025-06-13,Unknown,,Poor,43.345,Poor,Needs Attention,Average,Hard
C1050,AI Fundamentals,ECE,Basics,Lesson 9,1105,,68.0,61.4,71.3,0.2,50.1,1014,37,2024-01-01,Prof.Priya,Medium,Average,43.57,Poor,Needs Attention,Average,Medium
C1051,Data Structures,AI&DS,Basics,Lesson 12,1548,163.0,58.2,57.8,85.0,4.8,33.9,874,12,2024-01-01,Prof. Meena,Medium,Excellent,64.58,Excellent,Needs Attention,Average,Hard
C1052,Java Programming,AI&DS,Basics,Lesson 17,3526,246.0,86.6,83.1,79.7,0.0,100.0,1442,74,2024-11-10,Prof. Meena,Hard,Good,62.425,Poor,Completed,Good,Easy
C1053,DBMS,AI&DS,Intermediate,Lesson 9,4807,38.0,36.0,0.0,39.2,0.2,69.3,1440,55,2024-01-01,Prof. Meena,Medium,Poor,24.06,Poor,In Progress,Average,Hard
C1054,,ECE,Basics,Lesson 5,3374,249.0,100.0,76.2,88.3,1.0,85.2,1221,84,2024-01-01,Prof.Priya,Hard,good,67.09,Poor,In Progress,Good,Easy
C1055,AI Fundamentals,ECE,Advanced,Lesson 15,4031,201.0,71.4,61.9,96.4,3.4,39.7,570,36,2024-09-01,Unknown,,Good,61.665000000000006,Average,Needs Attention,Average,Medium
C1056,Python Programming,ECE,Basics,Lesson 3,4177,87.0,85.2,56.7,56.0,5.0,40.2,82,59,2023-03-24,Dr Ravi,Hard,Average,73.515,Excellent,Needs Attention,Average,Easy
C1057,DBMS,AI&DS,Basics,Lesson 10,2483,154.0,95.6,63.6,70.0,5.0,78.1,1363,37,2024-06-11,Dr Ravi,Medium,Average,85.42,Excellent,In Progress,Average,Easy
C1058,Python Programming,AI&DS,Intermediate,Lesson 12,1059,52.0,60.6,72.2,50.4,2.1,100.0,1483,25,2024-08-04,Dr. Kumar,Medium,Good,65.8,Poor,Completed,Average,Medium
C1059,DBMS,IT,Basics,Lesson 24,3761,283.0,44.6,70.5,88.9,4.1,52.2,1485,46,2024-01-01,Dr Ravi,,Poor,63.815,Good,Needs Attention,Average,Hard
C1060,Machine Learning,AI&DS,Basics,Lesson 3,4974,154.0,85.8,53.5,100.0,5.0,61.3,918,84,2024-01-01,Dr Ravi,hard,Average,77.08500000000001,Excellent,In Progress,Average,Easy
C1061,Python Programming,CSE,Intermediate,Lesson 16,3712,6.0,100.0,72.1,87.1,4.4,88.1,295,66,2024-02-28,Dr. Kumar,Easy,good,87.045,Good,In Progress,Average,Easy
C1062,AI Fundamentals,AI&DS,Advanced,Lesson 9,2757,194.0,35.3,73.0,77.1,0.0,75.6,687,70,2024-01-01,Dr. Kumar,Medium,Excellent,42.195,Poor,In Progress,Average,Hard
C1063,Python Programming,AI&DS,Intermediate,Lesson 19,2939,247.0,83.3,49.5,50.6,3.0,73.0,631,65,2024-01-01,Prof. Meena,Easy,Good,65.80000000000001,Average,In Progress,Average,Easy
C1064,Data Structures,AI&DS,Introduction,Lesson 18,854,177.0,42.4,41.0,81.9,2.8,43.1,578,38,2024-01-01,Unknown,,Good,46.269999999999996,Poor,Needs Attention,Average,Hard
C1065,AI Fundamentals,AI&DS,Basics,Lesson 23,1296,171.0,52.9,89.9,58.8,5.0,46.0,1093,15,2023-02-23,Prof.Priya,hard,Average,74.9,Excellent,Needs Attention,Good,Hard
,Web Development,AI&DS,Basics,Lesson 4,3205,251.0,91.0,41.8,64.6,4.5,50.0,504,73,2023-12-16,Prof. Meena,,Average,70.2,Excellent,Needs Attention,Average,Easy
C1067,Java Programming,CSE,Project,Lesson 14,2303,9.0,84.0,85.0,71.3,2.5,100.0,947,82,2024-02-08,Dr Ravi,Medium,good,77.25,Poor,Completed,Good,Easy
C1068,AI Fundamentals,AI&DS,Basics,Lesson 24,610,82.0,80.4,65.9,82.6,2.7,32.9,1280,12,2025-06-10,Prof.Priya,hard,Excellent,59.355,Poor,Needs Attention,Average,Easy
C1069,Machine Learning,IT,Basics,Lesson 9,3970,245.0,84.6,68.8,94.7,1.2,53.0,177,78,2024-09-25,Dr Ravi,Medium,Good,56.15,Poor,Needs Attention,Average,Easy
C1070,AI Fundamentals,AI&DS,Introduction,Lesson 19,1371,138.0,71.2,99.2,82.1,0.5,78.9,0,55,2025-03-02,Unknown,hard,Excellent,61.38,Poor,In Progress,Excellent,Medium
C1071,DBMS,AI&DS,Basics,,1222,170.0,69.3,0.0,70.5,1.3,69.4,1199,89,2024-01-01,Unknown,hard,Good,39.005,Poor,In Progress,Average,Medium
,Java Programming,AI&DS,Project,Lesson 16,2983,,46.3,55.8,65.1,2.4,93.4,1025,24,2025-01-06,Prof. Meena,,Average,58.605000000000004,Poor,Completed,Average,Hard
C1073,DBMS,IT,Introduction,Lesson 10,1370,136.0,37.1,87.4,88.5,5.0,90.6,1109,18,2025-01-17,Dr. Kumar,hard,Good,79.245,Excellent,Completed,Good,Hard
C1074,Python Programming,AI&DS,Introduction,Lesson 17,2810,201.0,35.3,59.6,93.3,2.1,63.2,178,26,2023-03-03,Prof.Priya,,Good,48.965,Poor,In Progress,Average,Hard
C1075,Web Development,ECE,Basics,Lesson 4,2865,118.0,90.2,42.2,55.5,2.2,59.2,1468,61,2024-01-01,Unknown,Easy,Good,58.14,Poor,Needs Attention,Average,Easy
C1076,,IT,Basics,Lesson 4,4024,115.0,95.5,100.0,87.6,2.7,86.5,753,62,2024-01-01,Dr. Kumar,Medium,Good,82.375,Poor,In Progress,Excellent,Easy
C1077,AI Fundamentals,ECE,Project,Lesson 14,3819,278.0,100.0,81.4,97.4,4.5,81.6,897,78,2023-01-10,Dr Ravi,Hard,Average,88.66999999999999,Excellent,In Progress,Good,Easy
C1079,Java Programming,AI&DS,Advanced,Lesson 20,921,199.0,78.7,59.1,78.7,4.1,42.6,446,75,2024-01-01,Dr. Kumar,,Average,67.57,Good,Needs Attention,Average,Medium
C1080,DBMS,AI&DS,Project,Lesson 3,562,68.0,91.1,0.0,41.2,1.5,45.4,1061,45,2023-07-17,Dr Ravi,hard,Average,40.855,Poor,Needs Attention,Average,Easy
C1081,Data Structures,AI&DS,Basics,Lesson 10,2185,205.0,37.9,83.6,82.5,3.9,67.9,364,9,2024-01-01,Dr Ravi,Easy,Poor,67.355,Average,In Progress,Good,Hard
C1082,Java Programming,IT,Basics,Lesson 25,3173,139.0,38.9,100.0,92.5,2.2,82.2,169,36,2023-05-23,Dr. Kumar,Hard,Excellent,64.36500000000001,Poor,In Progress,Excellent,Hard
C1083,DBMS,CSE,Advanced,Lesson 12,2377,262.0,71.9,54.5,73.9,3.4,87.5,945,65,2024-01-01,Dr. Kumar,Hard,Excellent,69.5,Average,In Progress,Average,Medium
C1084,Data Structures,ECE,Project,Lesson 20,3994,207.0,80.6,70.4,57.7,0.9,82.0,394,26,2024-01-01,Prof. Meena,,Good,59.55,Poor,In Progress,Average,Easy
C1085,Machine Learning,AI&DS,Advanced,Lesson 7,4546,197.0,42.3,72.8,100.0,3.3,39.0,1206,34,2024-01-01,Unknown,Hard,Excellent,56.375,Average,Needs Attention,Average,Hard
C1086,Java Programming,IT,Basics,Lesson 10,1492,32.0,0.0,70.2,58.6,5.0,76.8,0,111,2024-01-01,Dr. Kumar,Hard,Good,62.91,Excellent,In Progress,Average,Hard
C1087,Web Development,CSE,Advanced,Lesson 20,1764,182.0,53.9,44.6,40.3,1.9,66.4,1239,38,2024-01-01,Prof. Meena,Hard,good,49.305,Poor,In Progress,Average,Hard
C1088,Java Programming,ECE,Project,Lesson 5,3603,104.0,55.5,63.4,35.1,4.3,100.0,1446,87,2024-01-01,Dr. Kumar,Easy,Good,75.525,Good,Completed,Average,Hard
C1089,Python Programming,AI&DS,Introduction,Lesson 6,4669,53.0,54.4,78.8,89.3,2.4,75.7,509,72,2024-01-01,Unknown,,Poor,62.839999999999996,Poor,In Progress,Good,Hard
C1090,Data Structures,IT,Advanced,Lesson 17,4833,18.0,100.0,91.6,78.5,1.6,35.8,461,7,2024-01-01,Unknown,Medium,Excellent,64.66,Poor,Needs Attention,Excellent,Easy
C1091,Java Programming,IT,Basics,Lesson 18,3487,123.0,43.1,87.5,84.0,4.5,86.7,35,59,2024-01-01,Prof. Meena,,Average,76.99,Excellent,In Progress,Good,Hard
C1092,Java Programming,CSE,Basics,Lesson 6,4397,194.0,48.1,93.1,68.8,0.5,39.0,1293,55,2024-01-01,Dr Ravi,hard,Poor,46.099999999999994,Poor,Needs Attention,Excellent,Hard
C1093,Web Development,ECE,Project,Lesson 4,2354,280.0,38.9,52.2,60.3,0.9,43.0,137,58,2024-01-01,Prof. Meena,Easy,Poor,36.775,Poor,Needs Attention,Average,Hard
C1094,AI Fundamentals,AI&DS,Project,Lesson 23,1338,165.0,51.7,92.9,84.1,1.4,60.2,1388,76,2025-01-20,Dr Ravi,Medium,Good,56.589999999999996,Poor,In Progress,Excellent,Hard
C1095,Web Development,AI&DS,Introduction,Lesson 3,4224,50.0,98.6,75.2,80.6,1.1,74.9,1219,83,2023-09-20,Prof.Priya,Easy,good,65.03,Poor,In Progress,Good,Easy
,Python Programming,CSE,Advanced,Lesson 8,4903,293.0,89.8,73.6,99.6,3.2,83.3,840,15,2024-01-01,Dr Ravi,Easy,Good,76.71,Average,In Progress,Average,Easy
C1097,AI Fundamentals,AI&DS,Intermediate,Lesson 15,4309,10.0,69.0,81.9,44.7,5.0,0.0,777,65,2024-01-01,Prof. Meena,Medium,Poor,67.725,Excellent,Needs Attention,Good,Medium
C1098,Java Programming,IT,Basics,Lesson 21,100,253.0,51.9,67.2,92.5,1.5,37.9,981,85,2024-01-01,Dr. Kumar,Medium,Average,46.355,Poor,Needs Attention,Average,Hard
C1099,Data Structures,IT,Project,Lesson 12,4846,216.0,41.3,45.1,75.1,4.5,82.5,243,5,2025-02-07,Dr. Kumar,,Poor,65.1,Excellent,In Progress,Average,Hard
C1100,Python Programming,ECE,Basics,Lesson 24,1902,98.0,83.8,48.8,43.4,2.8,66.0,450,59,2025-05-22,Dr Ravi,Hard,Average,63.150000000000006,Poor,In Progress,Average,Easy
C1101,Web Development,AI&DS,Basics,Lesson 21,3074,123.0,58.7,70.2,61.2,5.0,67.1,271,65,2023-12-01,Dr Ravi,Easy,Good,75.645,Excellent,In Progress,Average,Hard
C1102,DBMS,AI&DS,Basics,,1186,207.0,94.3,68.2,100.0,1.7,31.6,737,28,2024-01-01,Prof. Meena,Medium,good,57.145,Poor,Needs Attention,Average,Easy
C1103,Machine Learning,ECE,Intermediate,Lesson 10,1876,264.0,78.6,80.8,54.7,1.4,35.4,1424,78,2024-01-01,Dr. Kumar,hard,Good,55.33,Poor,Needs Attention,Good,Medium
C1104,AI Fundamentals,AI&DS,Advanced,Lesson 12,1039,170.0,75.0,75.2,64.0,0.8,49.9,962,67,2024-01-01,Dr Ravi,,Good,52.33,Poor,Needs Attention,Good,Medium
C1105,DBMS,CSE,Introduction,Lesson 4,4459,158.0,66.0,56.5,89.5,1.1,79.4,1209,14,2024-01-14,Unknown,hard,Excellent,53.105000000000004,Poor,In Progress,Average,Medium
C1106,Data Structures,CSE,Basics,Lesson 17,4058,277.0,95.9,84.9,68.1,2.0,87.7,0,79,2023-01-07,Dr. Kumar,Medium,good,74.74000000000001,Poor,In Progress,Good,Easy
C1107,Java Programming,CSE,Intermediate,Lesson 18,1167,270.0,65.2,65.6,0.0,0.0,37.5,629,6,2023-05-13,Prof.Priya,Medium,Good,40.2,Poor,Needs Attention,Average,Medium
C1108,Web Development,AI&DS,Intermediate,Lesson 1,3674,298.0,48.9,44.2,36.3,4.1,69.0,1478,59,2024-01-01,Prof. Meena,Hard,Poor,61.675,Good,In Progress,Average,Hard
C1109,Machine Learning,AI&DS,Intermediate,Lesson 3,4484,180.0,98.6,41.0,62.4,1.5,53.5,1423,56,2024-01-01,Dr. Kumar,Hard,Excellent,54.6,Poor,Needs Attention,Average,Easy
C1111,Machine Learning,IT,Basics,Lesson 21,1973,259.0,0.0,77.4,100.0,0.2,46.9,73,66,2025-06-07,Dr Ravi,hard,Average,29.93,Poor,Needs Attention,Good,Hard
C1112,Machine Learning,ECE,Project,Lesson 17,3168,141.0,42.9,43.4,55.4,3.7,89.3,1078,82,2025-06-15,Dr Ravi,Easy,Good,61.635,Average,In Progress,Average,Hard
C1113,Machine Learning,AI&DS,Advanced,Lesson 19,2186,176.0,94.4,80.2,0.0,3.8,38.2,439,77,2025-02-04,Dr Ravi,Hard,Excellent,74.09,Average,Needs Attention,Good,Easy
C1114,Machine Learning,AI&DS,Basics,Lesson 4,2637,23.0,100.0,48.7,97.8,0.0,0.0,0,6,2024-01-01,Dr Ravi,,good,37.175,Poor,Needs Attention,Average,Easy
C1115,Data Structures,ECE,Intermediate,Lesson 2,4907,241.0,89.4,48.5,63.4,0.8,42.5,1103,86,2024-02-13,Unknown,Easy,Average,47.775000000000006,Poor,Needs Attention,Average,Easy
C1116,AI Fundamentals,CSE,Basics,Lesson 21,3261,274.0,99.7,97.9,44.3,1.7,69.5,337,24,2025-03-31,Dr Ravi,Medium,Excellent,73.5,Poor,In Progress,Excellent,Easy
C1117,Machine Learning,ECE,Advanced,Lesson 18,1696,229.0,55.8,43.1,53.0,1.9,81.3,962,1,2024-07-08,Dr. Kumar,Hard,good,52.385000000000005,Poor,In Progress,Average,Hard
C1118,AI Fundamentals,IT,Introduction,,4854,105.0,91.8,100.0,48.8,3.5,62.9,471,1,2024-01-01,Dr Ravi,Medium,good,81.53,Average,In Progress,Excellent,Easy
C1119,Python Programming,AI&DS,Intermediate,Lesson 23,2014,181.0,98.0,72.8,100.0,2.3,66.7,1181,50,2024-01-01,Dr. Kumar,,Excellent,69.84,Poor,In Progress,Average,Easy
C1120,DBMS,CSE,Introduction,Lesson 8,4850,77.0,47.4,69.0,58.2,2.1,73.9,53,18,2023-07-06,Prof. Meena,Medium,Excellent,56.480000000000004,Poor,In Progress,Average,Hard
C1121,Java Programming,AI&DS,Advanced,Lesson 11,3327,184.0,100.0,72.4,64.1,0.7,34.2,535,79,2024-06-24,Prof. Meena,Easy,Excellent,54.14,Poor,Needs Attention,Average,Easy
C1122,Java Programming,AI&DS,Basics,Lesson 22,1101,298.0,38.1,49.8,69.4,3.2,95.5,896,79,2023-11-15,Unknown,Hard,Good,60.275,Average,Completed,Average,Hard
C1123,DBMS,AI&DS,Basics,Lesson 1,2492,,98.0,85.0,80.8,0.9,86.8,1034,19,2024-01-01,Dr Ravi,,Poor,68.50999999999999,Poor,In Progress,Good,Easy
C1124,Data Structures,AI&DS,Intermediate,Lesson 20,100,246.0,62.0,81.1,90.4,4.9,40.5,233,72,2024-01-01,Prof.Priya,Medium,Good,73.27499999999999,Excellent,Needs Attention,Good,Medium
C1125,Web Development,AI&DS,Basics,Lesson 3,2623,142.0,48.7,57.4,61.5,4.8,63.9,769,72,2024-01-01,Prof.Priya,hard,Average,68.105,Excellent,In Progress,Average,Hard
C1126,DBMS,AI&DS,Introduction,Lesson 21,677,266.0,73.5,62.5,57.2,1.5,89.8,104,16,2024-01-01,Unknown,,Average,60.96,Poor,In Progress,Average,Medium
C1127,Machine Learning,CSE,Introduction,Lesson 8,3771,214.0,75.7,52.9,92.8,3.0,100.0,336,20,2024-01-01,Dr. Kumar,hard,good,70.15,Average,Completed,Average,Medium
C1128,Python Programming,IT,Basics,Lesson 10,3508,266.0,44.8,83.2,52.6,2.1,64.1,781,72,2024-01-01,Unknown,Easy,Poor,57.419999999999995,Poor,In Progress,Good,Hard
,AI Fundamentals,IT,Basics,,4271,266.0,90.2,100.0,53.3,1.2,46.6,1487,12,2024-01-01,Dr. Kumar,Easy,Good,64.07,Poor,Needs Attention,Excellent,Easy
C1131,Web Development,CSE,Project,Lesson 3,1206,185.0,47.5,100.0,71.5,2.8,60.3,650,85,2023-04-22,Dr Ravi,hard,good,65.735,Poor,In Progress,Excellent,Hard
C1132,AI Fundamentals,ECE,Intermediate,Lesson 24,2702,279.0,83.4,59.8,53.4,2.3,100.0,354,28,2024-01-01,Dr. Kumar,Hard,Average,69.6,Poor,Completed,Average,Easy
C1133,DBMS,IT,Basics,Lesson 16,2266,185.0,95.5,99.3,44.0,0.1,42.1,1343,81,2024-08-20,Prof.Priya,hard,Poor,57.72,Poor,Needs Attention,Excellent,Easy
C1134,DBMS,AI&DS,Advanced,Lesson 11,4207,161.0,82.3,45.7,100.0,0.9,99.9,35,32,2025-05-03,Unknown,hard,Average,57.38,Poor,Completed,Average,Easy
C1135,,AI&DS,Project,Lesson 23,4769,295.0,0.0,70.4,95.0,4.5,85.6,576,59,2024-01-01,Unknown,Easy,Good,61.72,Excellent,In Progress,Average,Hard
C1136,,AI&DS,Basics,Lesson 8,631,221.0,47.4,87.6,68.9,2.0,65.3,1058,44,2024-03-17,Unknown,hard,Good,58.81,Poor,In Progress,Good,Hard
C1137,,AI&DS,Basics,Lesson 16,875,196.0,79.6,88.2,58.0,1.1,32.0,766,72,2023-02-06,Dr Ravi,Hard,Poor,54.949999999999996,Poor,Needs Attention,Good,Medium
C1138,AI Fundamentals,AI&DS,Basics,Lesson 5,2568,236.0,0.0,71.0,100.0,4.5,63.5,883,4,2024-01-01,Unknown,,Average,57.45,Excellent,In Progress,Average,Hard
C1139,Machine Learning,IT,Basics,Lesson 6,2792,219.0,94.0,99.2,88.8,3.2,82.8,469,75,2024-01-01,Dr. Kumar,Medium,Good,84.06,Average,In Progress,Excellent,Easy
